Zählrohrwinkel	Rate bei 32kV
2*theta/°	R(32kV)/Imp/s

6.0	247.0
6.4	97.0
6.8	55.0
7.2	33.0
7.6	30.0
8.0	31.0
8.4	24.0
8.8	35.0
9.2	43.0
9.6	38.0
10.0	29.0
10.4	41.0
10.8	40.0
11.2	56.0
11.6	60.0
12.0	67.0
12.4	76.0
12.8	80.0
13.2	101.0
13.6	85.0
14.0	94.0
14.4	97.0
14.8	100.0
15.2	125.0
15.6	114.0
16.0	112.0
16.4	142.0
16.7	143.0
17.2	180.0
17.6	157.0
18.0	178.0
18.4	177.0
18.8	207.0
19.2	189.0
19.6	184.0
20.0	188.0
20.4	198.0
20.8	209.0
21.2	194.0
21.6	223.0
22.0	195.0
22.4	206.0
22.8	163.0
23.2	204.0
23.6	199.0
24.0	211.0
