Zählrohrwinkel	Rate bei 35kV
2*theta/°	R(35kV)/Imp/s

4.0	2219.0
4.4	2131.0
4.8	1683.0
5.2	1239.0
5.6	712.0
6.0	391.0
6.4	155.0
6.8	83.0
7.2	76.0
7.6	73.0
8.0	62.0
8.4	67.0
8.8	70.0
9.2	55.0
9.6	58.0
10.0	72.0
10.4	91.0
10.8	68.0
11.2	92.0
11.6	83.0
12.0	87.0
12.4	94.0
12.8	116.0
13.2	115.0
13.6	118.0
14.0	113.0
14.4	118.0
14.8	138.0
15.2	141.0
15.6	147.0
16.0	156.0
16.4	175.0
16.7	152.0
17.2	211.0
17.6	185.0
18.0	213.0
18.4	220.0
18.8	232.0
19.2	206.0
19.6	225.0
20.0	258.0
20.4	258.0
20.8	241.0
21.2	215.0
21.6	256.0
22.0	245.0
22.4	267.0
22.8	238.0
23.2	244.0
23.6	225.0
24.0	246.0
24.4	232.0
24.8	228.0
25.2	213.0
