Zählrohrwinkel	Rate bei 26kV
2*theta/°	R(26kV)/Imp/s

6.0	124.0
6.4	43.0
6.8	14.0
7.2	6.0
7.6	11.0
8.0	4.0
8.4	1.0
8.8	2.0
9.2	6.0
9.6	5.0
10.0	5.0
10.4	7.0
10.8	3.0
11.2	5.0
11.6	8.0
12.0	9.0
12.4	9.0
12.8	22.0
13.2	28.0
13.6	24.0
14.0	35.0
14.4	40.0
14.8	75.0
15.2	45.0
15.6	65.0
16.0	54.0
16.4	62.0
16.7	87.0
17.2	85.0
17.6	114.0
18.0	138.0
18.4	127.0
18.8	134.0
19.2	138.0
19.6	106.0
20.0	130.0
20.4	145.0
20.8	141.0
21.2	139.0
21.6	166.0
22.0	128.0
22.4	148.0
22.8	128.0
23.2	136.0
23.6	136.0
24.0	132.0
