Zählrohrwinkel	Rate bei 23kV
2*theta/°	R(23kV)/Imp/s

6.0	70.0
6.4	27.0
6.8	8.0
7.2	4.0
7.6	5.0
8.0	4.0
8.4	2.0
8.8	5.0
9.2	1.0
9.6	1.0
10.0	1.0
10.4	4.0
10.8	2.0
11.2	2.0
11.6	2.0
12.0	3.0
12.4	2.0
12.8	4.0
13.2	4.0
13.6	5.0
14.0	8.0
14.4	7.0
14.8	18.0
15.2	26.0
15.6	14.0
16.0	26.0
16.4	38.0
16.7	45.0
17.2	62.0
17.6	51.0
18.0	56.0
18.4	78.0
18.8	91.0
19.2	65.0
19.6	88.0
20.0	96.0
20.4	84.0
20.8	98.0
21.2	83.0
21.6	94.0
22.0	93.0
22.4	102.0
22.8	110.0
23.2	102.0
23.6	125.0
24.0	117.0
